Player           Team PS GP  Min  FGM  FGA  3M  3A FTM  FTA  OR   TR   AS  ST  TO  BK  PF  DQ   PTS  TC  EJ  FF Sta +/-
achiuwa,preciou   tor PF 55 1112  196  404  29 108  87  124 100  328   50  30  59  30 102   1   508   0   0   0  12  -37
adams,steven      mem  C 42 1116  157  263   0   1  47  129 214  486   97  36  79  46  98   1   361   0   0   0  42  243
adebayo,bam       mia  C 75 2561  602 1114   1  12 324  402 185  689  240  89 187  61 208   2  1529   0   0   0  75  117
agbaji,ochai      uta SG 58 1182  165  386  81 228  56   69  43  121   67  16  41  15  99   0   467   0   0   0  22  -23
aldama,santi      mem PF 77 1640  247  525  94 266 108  144  85  371   97  44  60  48 143   0   696   0   0   0  20   96
alexander-walke   min PG 23  344   48  125  26  72  13   21   7   42   32   8  10   7  30   0   135   0   0   0   0  -33
alexander-walke   uta SG 36  513   83  170  35  87  27   39   8   59   76  24  45  14  58   0   228   0   0   0   3  -18
alexander-walke   tot SG 59  857  131  295  61 159  40   60  15  101  108  32  55  21  88   0   363   0   0   0   3  -51
allen,grayson     mil SG 72 1936  245  556 146 365 114  126  61  237  163  62  72  14 117   0   750   0   0   0  70  227
allen,jarrett     cle  C 68 2181  403  626   1  10 162  221 219  664  113  53  93  84 153   0   969   0   0   0  68  355
alvarado,jose     nor PG 61 1281  201  489  83 247  65   80  28  141  186  67  81  10 125   0   550   0   0   0  10  105
anderson,kyle     min SF 69 1930  252  495  43 105 100  136  66  368  335  78 103  63 146   0   647   0   0   0  46   91
antetokounmpo,g   mil PF 63 1987  707 1279  47 171 498  772 139  744  359  52 247  51 197   3  1959   0   0   0  63  341
antetokounmpo,t   mil SF 37  192   20   46   0   8  11   22  15   44   15   3  12   3  22   0    51   0   0   0   0 -113
anthony,cole      orl PG 60 1520  277  610  75 206 152  170  47  287  235  37  91  31 158   1   781   0   0   0   4  -26
anunoby,og        tor SF 67 2356  421  886 142 367 140  167  95  332  131 128 132  50 200   1  1124   0   0   0  67  132
arcidiacono,rya   nyk PG 11   22    1    5   1   3   0    0   0    4    2   2   1   0   3   0     3   0   0   0   0    4
arcidiacono,rya   por PG  9  141    8   32   7  20   0    0   0   11   21   3   6   0  14   0    23   0   0   0   4  -44
arcidiacono,rya   tot PG 20  163    9   37   8  23   0    0   0   15   23   5   7   0  17   0    26   0   0   0   4  -40
avdija,deni       was SF 76 1984  253  579  69 232 122  165  74  487  212  65 123  29 209   0   697   0   0   0  40  -51
ayton,deandre     pho  C 67 1999  522  887   7  24 152  200 172  667  115  38 120  54 190   1  1203   0   0   0  67   -7
azubuike,udoka    uta  C 36  341   59   72   0   0   7   20  31  119   11   6  18  16  34   0   125   0   0   0   4  -83
bagley,marvin     det PF 42  967  202  383  19  66  81  108  94  269   36  19  46  30  81   0   504   0   0   0  25 -234
baldwin,patrick   gsw SF 31  211   43  109  32  84   4    6   1   40   11   6  11   4  14   0   122   0   0   0   0  -56
ball,lamelo       cha PG 36 1248  296  721 144 383 102  122  42  231  304  45 129  10 118   6   838   0   0   0  36 -150
bamba,mo          lal  C  9   84   11   27   5  16   6   11  11   41    4   1   8   5  19   1    33   0   0   0   1   -9
bamba,mo          orl  C 40  662  106  215  43 108  35   51  48  185   42  12  22  38  86   0   290   0   0   0   6   17
bamba,mo          tot  C 49  746  117  242  48 124  41   62  59  226   46  13  30  43 105   1   323   0   0   0   7    8
banchero,paolo    orl PF 72 2392  479 1122  85 285 394  534  84  497  269  59 200  39 160   1  1437   0   0   0  72 -215
bane,desmond      mem SG 58 1816  450  939 166 407 181  205  43  290  254  56 126  22 150   2  1247   0   0   0  58  356
banton,dalano     tor PG 31  261   55  131  15  51  17   24  11   45   36  13  18  13  34   0   142   0   0   0   2  -34
barlow,dominick   san SF 28  394   46   86   0   4  18   25  46  102   24  10  15  19  56   0   110   0   0   0   0 -108
barnes,harrison   sac SF 82 2620  374  792 132 353 350  413  88  367  128  57  86  10 103   0  1230   0   0   0  82  255
barnes,scottie    tor SF 77 2645  463 1016  63 224 190  246 179  512  370  83 154  61 170   0  1179   0   0   0  76  173
barrett,rj        nyk SG 73 2438  510 1177 121 390 290  392  60  369  201  31 164  15 179   3  1431   0   0   0  73  -65
barton,will       tor SG 16  204   28   79  14  42   2    2   5   26   17  11   3   3  17   0    72   0   0   0   2  -34
barton,will       was SF 40  765  110  284  52 137  35   45   9  109   95  17  45  10  39   0   307   0   0   0   0 -134
barton,will       tot SF 56  969  138  363  66 179  37   47  14  135  112  28  48  13  56   0   379   0   0   0   2 -168
bassey,charles    san  C 35  488   87  135   3   8  22   37  75  193   47  16  41  33  74   0   199   0   0   0   2  -34
bates-diop,keit   san SF 66 1418  236  465  56 142 119  150  65  248  103  46  56  20  63   0   647   0   0   0  42 -264
batum,nicolas     lac PF 78 1668  160  381 124 317  34   48  62  299  121  54  50  44 149   1   478   0   0   0  19  167
bazley,darius     okl PF 36  535   71  158  18  45  36   65  29  123   32  19  23  29  35   0   196   0   0   0   1  -33
bazley,darius     pho PF  7   57   12   25   2   8   2    5   5   16    6   3   5   5   9   0    28   0   0   0   0  -37
bazley,darius     tot PF 43  592   83  183  20  53  38   70  34  139   38  22  28  34  44   0   224   0   0   0   1  -70
beal,bradley      was SG 50 1647  444  878  80 220 192  228  41  196  271  45 145  33 107   1  1160   0   0   0  50   42
beasley,malik     lal SG 26  607  105  268  66 187  13   21   9   87   31  21  30   1  32   0   289   0   0   0  14  -16
beasley,malik     uta SG 55 1443  265  669 169 471  37   44  27  197   93  44  60   8  75   0   736   0   0   0  13  -78
beasley,malik     tot SG 81 2050  370  937 235 658  50   65  36  284  124  65  90   9 107   0  1025   0   0   0  27  -94
beauchamp,marjo   mil SG 52  677   96  243  47 142  27   37  38  115   35  21  45   7  71   1   266   0   0   0  11  -95
bertans,davis     dal SF 45  469   69  160  55 141  13   15  10   53   21  11  10   8  53   0   206   0   0   0   1  -37
beverley,patric   chi PG 22  596   47  119  25  81   8   15  20  107   76  23  18  16  63   3   127   0   0   0  22   10
beverley,patric   lal PG 45 1191   97  241  55 158  39   50  24  140  118  40  42  25 124   0   288   0   0   0  45  -90
beverley,patric   tot PG 67 1787  144  360  80 239  47   65  44  247  194  63  60  41 187   3   415   0   0   0  67  -80
bey,saddiq        atl SF 25  617  108  230  50 125  25   29  39  120   34  20  17   1  37   0   291   0   0   0   7  100
bey,saddiq        det SF 52 1475  245  607 101 293 180  209  59  242   84  50  54  11  86   0   771   0   0   0  30 -247
bey,saddiq        tot SF 77 2092  353  837 151 418 205  238  98  362  118  70  71  12 123   0  1062   0   0   0  37 -147
birch,khem        tor  C 20  153   19   32   1   2   4    5   8   25    7   5   8   5  24   0    43   0   0   0   0    6
bitadze,goga      ind  C 21  192   27   52   4  14  11   24  25   49   18   9  12  10  34   0    69   0   0   0   0   15
bitadze,goga      orl  C 17  247   42   73   2  12  12   18  36   88   21   7  10  16  30   1    98   0   0   0   1   11
bitadze,goga      tot  C 38  439   69  125   6  26  23   42  61  137   39  16  22  26  64   1   167   0   0   0   1   26
biyombo,bismack   pho  C 60  847  119  206   0   0  25   70  89  259   55  18  51  88 114   1   263   0   0   0  14   42
boeheim,buddy     det SG 10   86    5   27   4  25   2    2   2    6    4   2   0   0   6   0    16   0   0   0   0    3
bogdanovic,bogd   atl SG 54 1483  273  611 146 360  64   77  23  164  150  42  65  18  86   0   756   0   0   0   9   64
bogdanovic,boja   det SF 59 1866  430  881 145 353 268  303  36  223  152  34 135   8 113   0  1273   0   0   0  59 -330
bol,bol           orl  C 70 1471  261  478  30 113  82  108  69  405   69  30 112  85  92   0   634   0   0   0  33 -146
bolmaro,leandro   uta SG 14   62    3   19   0   4   0    0   4    7    7   2   7   1  10   0     6   0   0   0   0    2
booker,devin      pho SG 53 1810  527 1067 111 316 306  358  46  240  293  50 145  18 159   1  1471   0   0   0  53  247
boston,brandon    lac SG 22  237   51  122  12  29  29   38   7   30   20   9  12   0  21   0   143   0   0   0   1  -44
boucher,chris     tor PF 76 1491  261  528  62 189 128  168 157  421   29  47  41  63 143   0   712   0   0   0   0  -18
bouknight,james   cha SG 34  500   69  193  33 109  20   30   8   72   41  14  32   5  49   0   191   0   0   0   0  -95
bouyea,jamaree    mia PG  4   64    6   13   2   5   1    2   1    5    4   4   4   2   5   0    15   0   0   0   0  -21
bouyea,jamaree    was PG  1    5    0    1   0   1   0    0   0    1    0   0   0   0   1   0     0   0   0   0   0    4
bouyea,jamaree    tot PG  5   69    6   14   2   6   1    2   1    6    4   4   4   2   6   0    15   0   0   0   0  -17
